OTU_ID	kingdom	phylum	class	order	family	genus	species
OTU1019	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Hygrophoraceae	g__Hygrocybe	s__Hygrocybe_appalachianensis
OTU1007	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__Penicillium_lineatum
OTU1025	k__Fungi	p__Basidiomycota					
OTU1544	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	
OTU1565	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Dermateaceae		
OTU35	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Clavariaceae	g__Camarophyllopsis	s__unidentified
OTU606	k__Fungi	p__Mucoromycota	c__Endogonomycetes	o__Endogonales	f__Endogonaceae	g__Endogone	
OTU79	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Hygrophoraceae	g__Hygrocybe	s__Hygrocybe_cantharellus
OTU301	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	
OTU143	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Clavicipitaceae	g__Pochonia	s__Pochonia_bulbillosa
OTU1109	Unclassified						
OTU2120	k__Fungi						
OTU1204	k__Fungi						
OTU658	k__Fungi	p__Ascomycota					
OTU452	k__Fungi						
OTU741	k__Fungi						
OTU327	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
OTU1008	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Leptosphaeriaceae	g__Sphaerellopsis	s__Sphaerellopsis_filum
OTU1169	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales			
OTU1282	k__Fungi	p__Mucoromycota	c__Endogonomycetes	o__Endogonales	f__Endogonaceae	g__Endogone	
OTU1552	k__Fungi						
OTU1553	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Omphalotaceae	g__Gymnopus	s__Gymnopus_androsaceus
OTU1568	k__Fungi	p__Ascomycota					
OTU1572	k__Fungi	p__Basidiomycota	c__Spiculogloeomycetes	o__Spiculogloeales	f__Spiculogloeaceae	g__Phyllozyma	
OTU571	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Omphalotaceae	g__Marasmiellus	s__Marasmiellus_tricolor
OTU1072	k__Fungi						
OTU303	k__Fungi	p__Ascomycota					
OTU440	k__Fungi	p__Mucoromycota	c__Umbelopsidomycetes	o__Umbelopsidales	f__Umbelopsidaceae	g__Umbelopsis	s__unidentified
OTU57	k__Fungi	p__Ascomycota					
OTU101	k__Fungi	p__Ascomycota					
OTU514	k__Fungi	p__Basidiomycota	c__Agaricomycetes				
OTU462	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Serendipitaceae	g__unidentified	s__unidentified
OTU1022	k__Fungi	p__Ascomycota					
OTU557	k__Fungi	p__Ascomycota					
OTU304	k__Fungi	p__Ascomycota					
OTU1554	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Botryobasidiaceae	g__unidentified	s__unidentified
OTU1422	k__Fungi	p__Ascomycota					
OTU1550	k__Fungi						
OTU1555	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__unidentified	f__unidentified	g__unidentified	s__unidentified
OTU1566	k__Fungi	p__Basidiomycota	c__Agaricomycetes				
OTU1586	k__Fungi						
OTU198	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Dothideomycetes_ord_Incertae_sedis	f__Gloniaceae	g__Cenococcum	
OTU362	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Trechisporales	f__Hydnodontaceae	g__Trechispora	s__Trechispora_stellulata
OTU399	k__Fungi	p__Ascomycota					
OTU428	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Talaromyces	
OTU446	k__Fungi	p__Ascomycota					
OTU601	k__Fungi						
OTU222	k__Fungi						
OTU1925	k__Fungi	p__Ascomycota					
OTU107	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	
OTU2447	k__Fungi						
OTU1546	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Leucosporidiales	f__unidentified	g__unidentified	s__unidentified
OTU858	k__Fungi	p__Mucoromycota	c__Endogonomycetes	o__GS22	f__unidentified	g__unidentified	s__unidentified
OTU603	k__Fungi	p__Basidiomycota	c__Agaricomycetes				
OTU378	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__Mortierella_globulifera
OTU1223	k__Fungi						
OTU96	k__Fungi	p__Ascomycota	c__Xylonomycetes	o__GS34	f__unidentified	g__unidentified	s__unidentified
OTU307	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Ceratobasidiaceae		
OTU430	k__Fungi	p__Ascomycota					
OTU874	k__Fungi						
OTU1015	k__Fungi	p__Ascomycota	c__Eurotiomycetes				
OTU1009	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Cordycipitaceae	g__Lecanicillium	s__Lecanicillium_primulinum
OTU1010	k__Fungi	p__Mucoromycota	c__Endogonomycetes	o__Endogonales	f__Endogonaceae	g__Endogone	
OTU1018	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__unidentified
OTU1023	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Chaetosphaeriales	f__Chaetosphaeriaceae	g__Chaetosphaeria	s__Chaetosphaeria_callimorpha
OTU1027	k__Fungi						
OTU1132	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales			
OTU1419	k__Fungi						
OTU1547	k__Fungi	p__Ascomycota					
OTU1561	k__Fungi	p__Ascomycota					
OTU1582	k__Fungi	p__Ascomycota					
OTU1590	k__Fungi						
OTU1911	k__Fungi						
OTU197	k__Fungi	p__Ascomycota					
OTU812	Unclassified						
OTU813	k__Fungi	p__Ascomycota					
OTU900	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales			
OTU254	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__unidentified	s__unidentified
OTU227	k__Fungi						
OTU769	k__Fungi	p__Mucoromycota	c__Endogonomycetes	o__GS21	f__unidentified	g__unidentified	s__unidentified
OTU256	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	s__Fusarium_oxysporum
OTU963	k__Fungi	p__Ascomycota					
OTU756	k__Fungi	p__Mucoromycota	c__Endogonomycetes	o__Endogonales	f__Endogonaceae	g__Endogone	
OTU2012	k__Fungi						
OTU132	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales			
OTU498	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Hysteriales	f__unidentified	g__unidentified	s__unidentified
OTU685	k__Fungi	p__Glomeromycota	c__Glomeromycetes				
OTU1031	k__Fungi	p__Ascomycota					
OTU1260	k__Fungi	p__Ascomycota					
OTU348	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Tremellaceae	g__Tremella	s__unidentified
OTU1256	k__Fungi						
OTU1548	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Curvularia	
OTU770	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__unidentified	g__unidentified	s__unidentified
OTU566	k__Fungi	p__Ascomycota					
OTU673	k__Fungi						
OTU624	k__Fungi	p__Ascomycota					
OTU1220	k__Fungi						
OTU1011	k__Fungi	p__Basidiomycota	c__Geminibasidiomycetes	o__Geminibasidiales	f__Geminibasidiaceae	g__Geminibasidium	s__unidentified
OTU1206	k__Fungi						
OTU1541	k__Fungi	p__Glomeromycota	c__Archaeosporomycetes	o__Archaeosporales	f__Archaeosporaceae	g__Archaeospora	s__unidentified
OTU594	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Acidomelania	s__Acidomelania_panicicola
OTU320	k__Fungi	p__Ascomycota					
OTU937	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales			
OTU626	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Clavicipitaceae		
OTU1021	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	
OTU2328	k__Fungi						
OTU627	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	
OTU1013	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mytilinidiales	f__Mytilinidiaceae	g__Lophium	s__unidentified
OTU1020	k__Fungi	p__Ascomycota					
OTU1538	k__Fungi						
OTU1540	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales			
OTU1545	k__Fungi	p__Ascomycota					
OTU1549	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	f__Hyaloriaceae	g__unidentified	s__unidentified
OTU1564	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Ostropales	f__Stictidaceae	g__Cryptodiscus	s__unidentified
OTU1567	k__Fungi						
OTU1579	k__Fungi						
OTU1581	k__Fungi	p__Mucoromycota	c__Endogonomycetes	o__GS22	f__unidentified	g__unidentified	s__unidentified
OTU1585	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Diaporthales	f__Valsaceae		
OTU1594	k__Fungi	p__Basidiomycota	c__Agaricomycetes				
OTU1604	k__Fungi	p__Glomeromycota	c__Archaeosporomycetes	o__Archaeosporales	f__Archaeosporaceae	g__Archaeospora	s__unidentified
OTU1605	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Amylocorticiales	f__Amylocorticiaceae	g__Amyloxenasma	s__unidentified
OTU1893	k__Fungi	p__Ascomycota	c__Leotiomycetes				
OTU1948	k__Fungi	p__Mucoromycota	c__Endogonomycetes	o__Endogonales	f__Endogonaceae	g__Endogone	s__unidentified
OTU285	k__Fungi	p__Ascomycota					
OTU396	k__Fungi	p__Ascomycota					
OTU551	k__Fungi	p__Ascomycota	c__Sordariomycetes				
OTU646	k__Fungi	p__Ascomycota					
OTU670	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Cordycipitaceae	g__Cordyceps	s__Cordyceps_bassiana
OTU748	k__Fungi	p__Mucoromycota	c__Endogonomycetes	o__Endogonales	f__Endogonaceae	g__Endogone	s__unidentified
OTU751	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Leotiomycetes_ord_Incertae_sedis	f__Leotiomycetes_fam_Incertae_sedis	g__Collophora	s__unidentified
OTU87	k__Fungi						
OTU67	k__Fungi						
OTU503	k__Fungi	p__Ascomycota					
OTU387	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	
OTU183	k__Fungi	p__Basidiomycota	c__Agaricomycetes				
OTU194	k__Fungi						
OTU177	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales			
OTU23	k__Fungi						
OTU755	k__Fungi	p__Ascomycota					
OTU439	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	
OTU341	k__Fungi						
OTU1613	k__Fungi						
OTU652	k__Fungi	p__Mortierellomycota	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified
OTU1634	k__Fungi	p__Ascomycota					
OTU200	k__Fungi	p__Chytridiomycota	c__Rhizophydiomycetes	o__Rhizophydiales	f__Terramycetaceae	g__unidentified	s__unidentified
OTU746	k__Fungi	p__Glomeromycota					
OTU749	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Ilyonectria	s__Ilyonectria_radicicola
OTU1944	k__Fungi						
OTU293	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Tricholomataceae	g__Mycena	
OTU612	k__Fungi						
OTU533	k__Fungi	p__Basidiomycota	c__Ustilaginomycetes	o__Ustilaginales	f__Ustilaginaceae	g__Pseudozyma	s__unidentified
OTU849	k__Fungi						
OTU1070	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Botryosphaeriales	f__Phyllostictaceae	g__Guignardia	s__Guignardia_gaultheriae
OTU1656	k__Fungi						
OTU531	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Bionectriaceae	g__Clonostachys	s__Clonostachys_rosea
OTU1686	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Coniochaetales	f__Coniochaetaceae	g__Coniochaeta	
OTU543	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae		
OTU122	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Clavicipitaceae		
OTU1028	k__Fungi	p__Ascomycota					
OTU1199	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreaceae	g__Trichoderma	
OTU1225	k__Fungi						
OTU1228	k__Fungi	p__Ascomycota					
